DATE,GT10 Govt,GT2 Govt,10-feb
1977-01-31,7.402,6.189,1.213
1977-02-01,7.412,6.209,1.203
1977-02-02,7.472,6.289,1.183
1977-02-03,7.462,6.219,1.243
1977-02-04,7.282,6.039,1.243
1977-02-07,7.342,6.049,1.293
1977-02-08,7.352,6.069,1.283
1977-02-09,7.342,6.019,1.323
1977-02-10,7.342,6.049,1.293
1977-02-11,7.362,6.029,1.333
1977-02-14,7.382,6.069,1.313
1977-02-15,7.362,6.049,1.313
1977-02-16,7.342,6.029,1.313
1977-02-17,7.262,5.999,1.263
1977-02-18,7.412,6.069,1.343
1977-02-21,7.412,6.069,1.343
1977-02-22,7.772,6.099,1.673
1977-02-23,7.812,6.129,1.683
1977-02-24,7.822,6.209,1.613
1977-02-25,7.792,6.149,1.643
1977-02-28,7.802,6.089,1.713
1977-03-01,7.492,6.169,1.323
1977-03-02,7.452,6.129,1.323
1977-03-03,7.432,6.089,1.343
1977-03-04,7.482,6.109,1.373
1977-03-07,7.502,6.129,1.373
1977-03-08,7.522,6.149,1.373
1977-03-09,7.502,6.129,1.373
1977-03-10,7.492,6.119,1.373
1977-03-11,7.442,6.099,1.343
1977-03-14,7.452,6.069,1.383
1977-03-15,7.442,6.069,1.373
1977-03-16,7.442,6.089,1.353
1977-03-17,7.472,6.149,1.323
1977-03-18,7.442,6.089,1.353
1977-03-21,7.432,6.039,1.393
1977-03-22,7.432,6.049,1.383
1977-03-23,7.442,6.049,1.393
1977-03-24,7.462,6.079,1.383
1977-03-25,7.482,6.109,1.373
1977-03-28,7.472,6.119,1.353
1977-03-29,7.472,6.089,1.383
1977-03-30,7.442,6.059,1.383
1977-03-31,7.422,6.019,1.403
1977-04-01,7.432,6.029,1.403
1977-04-04,7.442,6.039,1.403
1977-04-05,7.472,6.019,1.453
1977-04-06,7.462,6.049,1.413
1977-04-07,7.432,6.029,1.403
1977-04-08,7.432,6.029,1.403
1977-04-11,7.392,5.969,1.423
1977-04-12,7.392,5.989,1.403
1977-04-13,7.362,5.969,1.393
1977-04-14,7.202,5.739,1.463
1977-04-15,7.252,5.789,1.463
1977-04-18,7.252,5.809,1.443
1977-04-19,7.302,5.879,1.423
1977-04-20,7.322,5.959,1.363
1977-04-21,7.332,5.949,1.383
1977-04-22,7.362,6.039,1.323
1977-04-25,7.402,6.019,1.383
1977-04-26,7.382,6.009,1.373
1977-04-27,7.382,6.019,1.363
1977-04-28,7.402,6.039,1.363
1977-04-29,7.452,6.149,1.303
